id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C
id_001f94081_0,0.51839185,0.7293876,0.49082464
id_001f94081_4,0.8114892,0.55005777,0.63806295
id_001f94081_8,0.30036786,0.15334271,0.13914904
id_001f94081_9,0.3502736,0.85137606,0.9369721
id_001f94081_13,1.1428125,1.1260386,1.0054656
id_001f94081_23,0.107005104,0.54348886,0.44235852
id_001f94081_27,0.6529939,0.62608516,0.5086852
id_001f94081_33,0.6394008,0.9211462,0.96538603
id_001f94081_41,0.005398761,0.10269166,0.08606869
id_001f94081_56,0.111232035,0.19294141,0.14112414
id_001f94081_57,0.12569456,0.23532711,0.25356618
id_001f94081_59,0.56618124,0.70384663,0.6234486
id_0049f53ba_0,0.83746475,0.8297415,6.750102
id_0049f53ba_2,0.32969728,0.91584617,3.9999597
id_0049f53ba_3,1.7500836,0.28511718,1.2184765
id_0049f53ba_7,-0.017623633,-0.12776713,0.6499606
id_0049f53ba_8,0.06385016,0.0065996563,0.64883894
id_0049f53ba_10,0.082125664,0.19669068,0.64996666
id_0049f53ba_14,-0.09687131,0.01181774,0.5003713
id_0049f53ba_18,0.33406875,0.0392826,0.9001798
id_0049f53ba_29,0.37266448,1.131713,0.8121933
id_0049f53ba_31,1.5126785,1.9217479,0.70103395
id_0049f53ba_33,-0.23776238,3.291414,-0.04176203
id_0049f53ba_37,-0.14746936,0.32106513,1.4820417
id_0049f53ba_44,0.03316378,0.59437114,1.0884768
id_0049f53ba_45,0.43073502,0.70523024,0.6854042
id_006f36f57_1,1.4118462,2.0590544,1.8414148
id_006f36f57_27,0.66641456,0.59975594,0.5205926
id_006f36f57_40,0.739362,0.7081551,0.678974
id_006f36f57_42,0.810712,1.3381829,1.2173866
id_006f36f57_44,0.8004602,0.81332713,0.7038287
id_006f36f57_47,0.3913573,0.61131287,0.5527878
id_006f36f57_55,0.69555146,0.8095887,0.71106553
id_0082d463b_2,0.4368143,0.06116017,0.22762766
id_0082d463b_6,-0.09589918,-0.10912563,0.38642117
id_0082d463b_8,-0.105698735,-0.17643033,0.2945773
id_0082d463b_10,-0.12350693,-0.09000114,0.2945773
id_0082d463b_11,-0.15282585,0.16508336,0.2745768
id_0082d463b_21,-0.11732712,0.32194075,0.5016625
id_0082d463b_24,0.56030244,0.807975,0.5755996
id_0082d463b_29,-0.12157055,0.21790922,0.3833097
id_0082d463b_36,0.5893307,1.9592482,1.9843456
id_0082d463b_37,0.1723762,1.305456,0.62058914
id_0082d463b_40,0.26900992,1.2366871,1.3782241
id_0082d463b_44,0.19365296,1.8607916,5.5822287
id_0082d463b_47,0.36172387,0.032370925,2.4573867
id_0082d463b_54,1.0817745,0.5654198,1.6693033
id_0082d463b_56,3.5883868,0.61451155,2.9317098
id_0082d463b_57,1.6167601,0.35175183,1.3021833
id_0082d463b_58,1.4461803,1.5980101,4.228261
id_0082d463b_63,0.06326024,-0.13523252,1.0258187
id_0082d463b_66,0.033506528,0.29651335,1.3253719
id_0087940f4_2,1.3362293,1.7590727,1.5461776
id_0087940f4_3,0.8605719,1.075278,2.2753391
id_0087940f4_5,0.9290059,0.41397345,1.608676
id_0087940f4_6,0.021629075,0.9315846,0.15893571
